Course Name,Category,Skills,Description
Python for Data Science,Data Science,python data analysis pandas numpy matplotlib statistics,"Learn Python programming for data science including data manipulation, visualization, and statistical analysis using pandas and numpy."
Machine Learning A-Z,Machine Learning,machine learning scikit-learn regression classification clustering algorithms python,"Comprehensive course covering supervised and unsupervised machine learning algorithms with hands-on Python projects."
Deep Learning with TensorFlow,Deep Learning,deep learning tensorflow neural networks keras computer vision NLP,"Master deep learning concepts including CNNs, RNNs, and transformers using TensorFlow and Keras frameworks."
Data Visualization with Power BI,Data Analytics,power bi data visualization dashboards business intelligence reporting analytics,"Create stunning interactive dashboards and reports using Microsoft Power BI for business intelligence insights."
SQL for Data Analysis,Data Analytics,sql database queries data analysis joins aggregation mysql postgresql,"Learn SQL from basics to advanced querying techniques for data extraction, transformation, and analysis."
Natural Language Processing,Machine Learning,NLP text processing NLTK spacy sentiment analysis transformers BERT python,"Explore NLP techniques including text classification, sentiment analysis, named entity recognition, and transformer models."
Computer Vision with OpenCV,Deep Learning,computer vision opencv image processing object detection CNN python,"Build real-world computer vision applications using OpenCV and deep learning for image recognition and object detection."
Full Stack Web Development,Web Development,html css javascript react nodejs express mongodb fullstack,"Complete full stack web development course covering frontend with React and backend with Node.js and MongoDB."
React.js for Beginners,Web Development,react javascript jsx components hooks state management frontend,"Learn React.js from scratch including components, hooks, state management, and building modern single-page applications."
Django REST API Development,Web Development,django python REST API backend web development postgresql,"Build scalable REST APIs using Django and Django REST Framework with authentication and database integration."
Flutter Mobile Development,Mobile Development,flutter dart mobile apps ios android cross-platform UI,"Create beautiful cross-platform mobile apps for iOS and Android using Flutter and Dart programming language."
iOS Development with Swift,Mobile Development,swift ios xcode mobile development UIKit SwiftUI,"Develop native iOS applications using Swift programming language and Apple's UIKit and SwiftUI frameworks."
Android Development with Kotlin,Mobile Development,kotlin android mobile development jetpack compose firebase,"Build professional Android applications using Kotlin and modern Jetpack Compose UI framework."
Cloud Computing with AWS,Cloud Computing,aws cloud computing ec2 s3 lambda DevOps serverless,"Master Amazon Web Services including EC2, S3, Lambda, RDS, and cloud architecture best practices."
Google Cloud Platform Fundamentals,Cloud Computing,gcp google cloud kubernetes bigquery cloud functions devops,"Learn Google Cloud Platform services including Compute Engine, Kubernetes Engine, BigQuery, and Cloud Functions."
Docker and Kubernetes,DevOps,docker kubernetes containers devops microservices orchestration CI/CD,"Master containerization with Docker and orchestration with Kubernetes for modern DevOps workflows."
CI/CD with Jenkins and GitHub Actions,DevOps,jenkins github actions CI/CD pipelines devops automation deployment,"Implement continuous integration and continuous deployment pipelines using Jenkins and GitHub Actions."
Cybersecurity Fundamentals,Cybersecurity,cybersecurity network security penetration testing ethical hacking cryptography,"Learn cybersecurity concepts including network security, ethical hacking, cryptography, and vulnerability assessment."
Ethical Hacking and Penetration Testing,Cybersecurity,ethical hacking penetration testing kali linux network security vulnerabilities,"Comprehensive ethical hacking course covering reconnaissance, scanning, exploitation, and security reporting."
Blockchain Development with Solidity,Blockchain,blockchain solidity ethereum smart contracts web3 cryptocurrency,"Learn blockchain development including Ethereum, smart contracts with Solidity, and decentralized applications."
Data Engineering with Apache Spark,Data Engineering,apache spark big data pyspark hadoop scala data pipelines ETL,"Build scalable data pipelines using Apache Spark for processing large-scale datasets and ETL workflows."
Apache Kafka for Data Streaming,Data Engineering,kafka data streaming real-time processing microservices event-driven,"Master Apache Kafka for building real-time data streaming pipelines and event-driven architectures."
Statistics for Data Science,Data Science,statistics probability hypothesis testing regression analysis data science,"Fundamental statistics concepts for data science including probability, distributions, hypothesis testing, and regression."
Business Analytics with Excel,Data Analytics,excel business analytics pivot tables data analysis vlookup dashboard,"Master Microsoft Excel for business analytics including pivot tables, advanced formulas, and dashboard creation."
Tableau for Data Visualization,Data Analytics,tableau data visualization dashboards analytics business intelligence reporting,"Create interactive data visualizations and dashboards using Tableau for business intelligence and analytics."
JavaScript Algorithms and Data Structures,Web Development,javascript algorithms data structures problem solving coding interview,"Master algorithmic problem solving and data structures in JavaScript for coding interviews and competitive programming."
TypeScript for Developers,Web Development,typescript javascript types interfaces OOP frontend backend,"Learn TypeScript to write type-safe JavaScript applications for both frontend and backend development."
Vue.js Web Development,Web Development,vuejs javascript frontend web development components state management,"Build dynamic web applications using Vue.js including components, Vuex state management, and Vue Router."
Angular Framework Mastery,Web Development,angular typescript frontend web development rxjs components services,"Comprehensive Angular course covering TypeScript, components, services, routing, and RxJS for enterprise web apps."
Node.js Backend Development,Web Development,nodejs javascript backend express REST API databases authentication,"Build robust backend applications using Node.js, Express.js, with database integration and authentication systems."
GraphQL API Development,Web Development,graphql API apollo nodejs react queries mutations subscriptions,"Learn GraphQL for building flexible and efficient APIs with Apollo Server and Client integration."
MongoDB for Developers,Data Engineering,mongodb nosql database CRUD aggregation indexing nodejs,"Master MongoDB for NoSQL database design, CRUD operations, aggregation pipeline, and performance optimization."
PostgreSQL Advanced Techniques,Data Engineering,postgresql database sql advanced queries optimization indexing performance,"Deep dive into PostgreSQL including advanced SQL, indexing strategies, query optimization, and database administration."
R Programming for Statistics,Data Science,R programming statistics data analysis ggplot2 dplyr visualization,"Learn R programming language for statistical analysis, data manipulation with dplyr, and visualization with ggplot2."
Reinforcement Learning,Machine Learning,reinforcement learning Q-learning deep RL openai gym policy gradient agents,"Explore reinforcement learning algorithms including Q-learning, policy gradient, and deep RL with OpenAI Gym."
Time Series Analysis,Data Science,time series forecasting ARIMA prophet python pandas statistics,"Master time series analysis and forecasting using ARIMA, Prophet, and machine learning techniques in Python."
Feature Engineering for ML,Machine Learning,feature engineering machine learning preprocessing scikit-learn python data preparation,"Learn advanced feature engineering techniques to improve machine learning model performance and accuracy."
MLOps and Model Deployment,Machine Learning,MLOps model deployment docker flask fastapi kubernetes machine learning production,"Deploy machine learning models to production using MLOps best practices, Docker, and cloud platforms."
Data Wrangling with Pandas,Data Science,pandas python data wrangling cleaning transformation analysis data science,"Master data cleaning, transformation, and analysis using pandas library for real-world data science projects."
FastAPI Development,Web Development,fastapi python REST API async backend microservices pydantic,"Build high-performance REST APIs using FastAPI with async support, automatic documentation, and Pydantic validation."
Redis for Caching and Messaging,Data Engineering,redis caching pub/sub data structures backend performance scalability,"Learn Redis for caching, session management, pub/sub messaging, and improving application performance."
Microservices Architecture,DevOps,microservices docker kubernetes API gateway service mesh distributed systems,"Design and implement microservices architecture using Docker, Kubernetes, and modern distributed system patterns."
Agile and Scrum Methodology,Project Management,agile scrum sprints project management kanban retrospectives ceremonies,"Master Agile and Scrum methodology for software project management including sprints, ceremonies, and team collaboration."
UI/UX Design with Figma,Design,figma UI UX design prototyping wireframes user research design thinking,"Create professional UI/UX designs using Figma including wireframing, prototyping, user research, and design systems."
React Native Mobile Development,Mobile Development,react native mobile ios android javascript cross-platform,"Build cross-platform mobile applications using React Native with JavaScript for iOS and Android platforms."
Rust Programming Language,Systems Programming,rust systems programming memory safety performance concurrency WebAssembly,"Learn Rust for systems programming with focus on memory safety, performance, and concurrent programming."
Go Programming for Backend,Web Development,golang go backend microservices REST API concurrency performance,"Master Go programming language for building high-performance backend services, APIs, and microservices."
Kubernetes Administration,DevOps,kubernetes administration cluster management helm monitoring devops,"Advanced Kubernetes administration including cluster setup, RBIC, network policies, Helm charts, and monitoring."
Terraform Infrastructure as Code,DevOps,terraform infrastructure as code cloud AWS GCP Azure devops automation,"Automate cloud infrastructure provisioning using Terraform for AWS, GCP, and Azure environments."
Prompt Engineering for AI,Artificial Intelligence,prompt engineering ChatGPT GPT LLM AI language models NLP,"Master prompt engineering techniques for ChatGPT, GPT-4, and other large language models for various AI applications."
LangChain and LLM Applications,Artificial Intelligence,langchain LLM openai GPT chatbots AI applications python RAG vector databases,"Build AI-powered applications using LangChain, OpenAI APIs, RAG systems, and vector databases."
Computer Graphics with OpenGL,Game Development,opengl computer graphics shaders 3D rendering game development C++,"Learn computer graphics programming using OpenGL including shaders, 3D rendering, and game development techniques."
Unity Game Development,Game Development,unity game development C# 3D 2D game design physics scripting,"Create professional games using Unity game engine with C# scripting, 3D/2D graphics, and game physics."
Embedded Systems with Arduino,IoT,arduino embedded systems IoT C programming electronics sensors hardware,"Learn embedded systems programming using Arduino for IoT projects with sensors, actuators, and hardware interfaces."
Data Science Project Portfolio,Data Science,data science portfolio projects end-to-end machine learning python pandas EDA,"Build a professional data science portfolio with end-to-end projects covering EDA, modeling, and deployment."
